,World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,
world rank,Name,Country,Industrial sector (ICB-3D), R&D 2013 (€million), R&D 1 year growth (%)," R&D 3 years growth (CAGR-3y, %)",R&D intensity (%),Sales 2013 (€million),Sales 1 year growth (%),"Sales 3 years growth (CAGR-3y, %)",Capex 2013 (€million),Capex 1 year growth (%),"Capex 3 years growth (CAGR-3y, %)",Capex int. (%),Profits 2013 (€million),Profits 1 year growth (%),"Profits 3 years growth (CAGR-3y, %)",Profitability (%),Employees 2013,Employees 1-year growth (%),"Employees 3-years growth (CAGR-3y, %)"
2213,AHLSTROM,Finland,Chemicals,19.3,12.9,1.2,1.9,1014.8,0.4,-18.8,87.0,-0.6,21.3,8.6,6.3,-56.3,-50.8,0.6,4490,-12.7,-8.3
2214,DISCOVERY LABORATORIES,US,Pharmaceuticals & Biotechnology,19.3,29.6,18.7,6859.3,0.3,99.0,   ,0.4,-4.4,81.9,156.7,-32.3,17.7,20.4,-11471.1,126,17.8,22.2
2215,S1,South Korea,General Industrials,19.3,40.0,18.9,2.2,875.4,16.2,12.4,131.6,27.0,29.6,15.0,88.7,-4.1,-0.4,10.1,,   ,   
2216,SOLARWORLD,Germany,Alternative Energy,19.3,-56.0,4.2,4.2,455.8,-24.8,-29.6,24.2,-53.9,-53.6,5.3,-185.1,-70.5,  ,-40.6,2073,-12.0,-4.4
2217,CHANGSHIN,South Korea,Personal Goods,19.3,15.9,9.1,3.5,554.7,4.1,12.9,,   ,   ,0.0,26.2,2.4,28.2,4.7,612,   ,   
2218,GSI,Canada,Industrial Engineering,19.3,15.5,-3.8,7.8,247.7,25.8,-3.8,3.6,15.8,23.3,1.5,13.9,23.1,-13.4,5.6,,   ,   
2219,REGADO BIOSCIENCES,US,Pharmaceuticals & Biotechnology,19.2,400.2,   ,   ,,   ,   ,0.5,81.5,   ,   ,-24.5,178.2,   ,   ,28,-9.7,   
2220,T RAD,Japan,Construction & Materials,19.2,16.0,9.7,2.9,655.9,8.8,4.5,44.6,27.4,36.6,6.8,27.7,95.7,-4.2,4.2,3040,-2.4,1.6
2221,ARAKAWA CHEMICAL,Japan,Chemicals,19.2,1.6,0.6,3.7,516.6,10.7,4.1,13.1,-12.8,-22.3,2.5,16.1,24.3,-5.6,3.1,1330,-0.3,0.2
2222,READSOFT,Sweden,Software & Computer Services,19.2,29.0,24.1,22.3,85.9,-2.6,7.2,0.6,-13.2,-15.6,0.8,2.1,-71.9,-27.1,2.5,614,8.9,9.9
2223,HONGFA TECHNOLOGY,China,Construction & Materials,19.2,90.6,   ,4.9,393.8,13.7,71.4,24.2,118.7,116.7,6.1,67.1,17.6,160.3,17.0,10670,1.8,115.4
2224,GUANGDONG HOMA APPLIANCES,China,Household Goods & Home Construction,19.2,34.7,   ,3.8,504.2,23.1,14.5,11.2,-43.3,-14.0,2.2,30.5,35.6,28.7,6.0,4617,-27.5,   
2225,AISINO,China,Software & Computer Services,19.2,42.1,43.1,1.0,1952.7,14.5,20.9,20.2,-1.4,-6.9,1.0,192.6,12.5,8.3,9.9,14117,2.3,6.8
2226,XAAR,UK,Technology Hardware & Equipment,19.2,92.9,46.5,11.7,163.7,58.9,35.9,20.0,121.6,37.1,12.2,46.8,143.2,98.1,28.6,692,37.8,22.4
2227,KONGZHONG,Cayman Islands,Software & Computer Services,19.1,43.6,3.3,14.7,130.1,-0.6,6.3,3.6,227.8,42.5,2.8,9.9,-41.1,-6.9,7.6,1153,4.8,3.2
2228,HUADONG MEDICINE,China,Pharmaceuticals & Biotechnology,19.1,28.4,21.8,1.0,1974.2,14.8,23.1,39.9,30.7,25.3,2.0,126.6,15.0,25.6,6.4,5338,44.4,18.2
2229,SANYANG INDUSTRY,Taiwan,Automobiles & Parts,19.1,-1.4,1.5,2.4,787.5,-5.1,0.8,16.9,-9.1,-18.9,2.1,-7.8,-141.3,  ,-1.0,,-100.0,-100.0
2230,MONTUPET,France,Automobiles & Parts,19.1,32.5,-10.8,4.5,420.7,5.3,3.9,43.0,-1.5,7.7,10.2,41.6,26.1,36.6,9.9,3185,2.3,-0.2
2231,INTERCEPT PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,19.1,91.6,27.5,1623.1,1.2,-33.7,   ,1.2,4098.9,282.7,100.5,-28.6,108.6,34.1,-2432.8,50,100.0,   
2232,OM,US,Chemicals,19.1,-19.1,30.6,2.3,839.3,-25.1,-1.1,38.5,-21.4,26.2,4.6,29.8,-974.5,-30.6,3.6,5900,-13.2,28.1
2233,ACELRX PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,19.1,5.6,47.5,89.1,21.4,1132.3,   ,2.4,297.9,836.7,11.1,-4.8,-77.6,-18.2,-22.6,27,8.0,12.4
2234,TIANJIN FAW XIALI AUTOMOBILE,China,Automobiles & Parts,19.1,3.3,17.6,3.0,639.0,-25.5,-17.4,15.3,-57.7,-36.1,2.4,-169.8,24.2,18.9,-26.6,9118,16.0,17.1
2235,CAP GEMINI,France,Software & Computer Services,19.0,-9.5,39.5,0.2,10092.0,-1.7,5.1,143.0,-21.9,-0.2,1.4,956.0,9.9,21.3,9.5,131430,5.1,6.5
2236,GUODIAN NANJING AUTOMATION,China,Electronic & Electrical Equipment,19.0,13.3,48.8,3.1,603.3,25.5,29.9,38.9,-26.9,12.8,6.5,32.5,-13.4,23.8,5.4,4985,0.2,18.7
2237,HALDEX,Sweden,Automobiles & Parts,19.0,0.6,-12.4,4.3,442.5,-0.3,-17.2,,-100.0,-100.0,0.0,17.3,2.0,-20.3,3.9,2135,-3.0,-17.6
2238,JIANGSU ZHONGTIAN TECHNOLOGIES,China,Electronic & Electrical Equipment,18.9,11.6,83.0,2.4,784.5,14.2,15.8,66.0,2.8,-0.9,8.4,83.1,14.2,8.8,10.6,4729,-4.3,-0.4
2239,CNP ASSURANCES,France,Life Insurance,18.9,2.2,22.8,0.1,26294.5,3.1,-5.8,,   ,   ,0.0,-11335.7,-12.0,3.6,-43.1,,   ,-100.0
2240,PFEIFFER VACUUM TECHNOLOGY,Germany,Industrial Engineering,18.9,32.8,39.2,4.6,408.7,-11.4,22.8,10.3,0.1,28.1,2.5,50.8,-26.1,-1.3,12.4,2235,-0.9,0.0
2241,DE LA RUE,UK,Support Services,18.9,12.1,2.7,3.1,612.9,6.1,3.4,41.7,-5.9,4.4,6.8,81.7,21.9,36.0,13.3,4033,2.0,0.3
2242,CHENZHOU MINING,China,Mining,18.9,-6.0,29.2,3.2,598.4,8.3,21.1,59.2,-13.3,11.8,9.9,34.9,-53.8,-8.4,5.8,7123,-5.5,-0.5
2243,ACTIONS SEMICONDUCTOR,China,Technology Hardware & Equipment,18.8,9.5,14.5,37.5,50.3,27.7,22.7,0.5,183.5,-57.0,1.0,-9.6,-1.9,15.0,-19.1,621,1.1,-2.9
2244,SIEGFRIED,Switzerland,Pharmaceuticals & Biotechnology,18.8,0.0,-14.2,6.2,305.0,2.0,6.0,38.8,116.4,69.5,12.7,30.9,192.1,80.9,10.1,917,10.2,8.1
2245,VERASTEM,US,Pharmaceuticals & Biotechnology,18.8,19.4,301.7,   ,,   ,   ,0.0,-81.9,91.3,   ,-30.0,28.5,275.2,   ,30,25.0,   
2246,SILICON MITUS,South Korea,General Industrials,18.8,11.8,42.9,23.0,81.6,-4.6,31.3,,   ,   ,0.0,2.1,-76.1,-21.2,2.6,,-100.0,   
2247,APOLLO TYRES,India,Automobiles & Parts,18.8,37.5,57.4,1.2,1559.3,4.0,14.5,58.4,-20.2,-23.6,3.7,184.5,38.5,30.5,11.8,16000,0.0,   
2248,DESCARTES SYSTEMS,Canada,Software & Computer Services,18.8,21.7,15.1,17.1,109.7,19.2,15.1,1.7,-31.8,12.9,1.6,10.7,-14.7,22.8,9.7,,   ,   
2249,NORITAKE,Japan,Construction & Materials,18.8,-6.6,-1.5,3.1,610.7,-1.7,-5.6,44.4,-5.3,24.8,7.3,5.2,-158.3,-43.5,0.9,4086,2.0,-0.7
2250,ELTEK,Norway,Fixed Line Telecommunications,18.7,-1.8,-4.3,4.3,437.8,7.6,-2.8,,   ,   ,0.0,36.0,8.3,15.3,8.2,2484,2.9,-1.2
2251,AEROHIVE NETWORKS,US,Mobile Telecommunications,18.7,60.7,67.6,24.1,77.7,50.4,90.1,2.1,95.6,92.6,2.7,-21.6,34.3,45.6,-27.8,520,13.0,   
2252,CONMED,US,Health Care Equipment & Services,18.7,-8.4,-4.5,3.4,553.0,-0.6,2.2,13.4,-14.3,7.8,2.4,52.2,-12.5,3.9,9.4,3600,0.0,2.9
2253,AIPHONE,Japan,Technology Hardware & Equipment,18.7,23.5,15.3,6.4,292.7,15.2,10.8,5.3,30.8,42.6,1.8,22.0,35.1,86.2,7.5,1629,4.2,3.6
2254,EZCHIP SEMICONDUCTOR,Israel,Technology Hardware & Equipment,18.7,30.8,23.6,36.4,51.4,29.5,4.5,1.2,58.4,60.7,2.3,14.2,48.6,-1.8,27.7,199,5.3,8.2
2255,SHENZHEN INOVANCE TECHNOLOGY,China,Electronic & Electrical Equipment,18.7,12.5,43.0,9.2,203.2,44.7,36.6,8.4,86.9,13.8,4.2,54.6,78.0,30.5,26.8,2410,31.4,38.9
2256,GUANGZHOU ECHOM SCIENCE & TECHNOLOGY,China,General Industrials,18.7,107.0,58.1,6.3,296.5,18.2,15.0,21.7,34.9,-20.5,7.3,-7.8,-231.1,  ,-2.6,5035,22.1,11.3
2257,OPLINK COMMUNICATIONS,US,Technology Hardware & Equipment,18.7,14.9,32.1,14.0,133.0,4.8,9.7,5.5,-37.5,11.1,4.1,11.0,72.1,8.6,8.3,3744,8.4,-0.7
2258,CKD,Japan,Industrial Engineering,18.7,16.0,6.5,3.6,519.8,16.1,1.6,25.9,48.5,58.5,5.0,54.3,143.0,2.0,10.4,3166,-3.3,-0.6
2259,METHODE ELECTRONICS,US,Electronic & Electrical Equipment,18.6,8.3,9.6,3.3,560.4,48.7,21.7,21.0,-24.8,24.0,3.8,53.4,283.8,66.6,9.5,4566,15.3,18.5
2260,CORONADO BIOSCIENCES,US,Pharmaceuticals & Biotechnology,18.6,38.7,50.0,   ,,   ,   ,0.0,-25.9,45.4,   ,-25.9,31.7,57.0,   ,14,-12.5,   
2261,ASSECO POLAND,Poland,Software & Computer Services,18.6,17.3,46.3,1.3,1419.9,6.7,22.1,50.8,-2.6,-0.4,3.6,147.0,-6.3,2.3,10.4,16782,0.9,7.4
2262,JIHUA GROUP,China,Personal Goods,18.6,24.5,31.2,0.6,3135.3,3.0,22.3,177.0,78.8,93.2,5.6,94.1,0.9,4.0,3.0,37649,-8.5,-6.7
2263,SHENZHEN TAT FOOK TECHNOLOGY,China,Technology Hardware & Equipment,18.6,-31.4,55.7,8.4,220.7,26.1,30.0,17.0,-73.0,2.5,7.7,9.1,-139.9,-35.7,4.1,6497,8.8,24.4
2264,NEDAP,The Netherlands,Electronic & Electrical Equipment,18.6,20.6,18.3,10.7,173.7,1.1,9.2,10.4,26.0,19.6,6.0,11.8,-28.3,1.5,6.8,744,4.9,4.5
2265,SVENSK KARNBRANSLEHANTERING,Sweden,Support Services,18.6,-26.9,-23.7,10.8,171.7,-14.3,6.6,,   ,   ,0.0,4.2,2.9,  ,2.5,495,8.1,9.9
2266,ACADIA PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,18.5,84.2,   ,2233.8,0.8,-76.7,-69.9,0.4,   ,   ,54.0,-27.8,83.4,  ,-3344.7,48,84.6,21.1
2267,SANMINA,US,Electronic & Electrical Equipment,18.5,16.8,25.3,0.4,4290.6,-2.9,-2.2,55.1,-3.4,-2.3,1.3,132.4,8.1,-7.0,3.1,33144,-8.3,-3.2
2268,ZHEJIANG HUAHAI PHARMACEUTICAL,China,Pharmaceuticals & Biotechnology,18.5,66.9,30.5,6.9,268.1,14.5,31.1,55.4,4.1,19.6,20.7,49.3,5.8,55.1,18.4,3855,-0.9,6.6
2269,AEROVIRONMENT,US,Aerospace & Defence,18.5,-31.4,-10.6,10.1,182.5,4.8,-4.9,5.7,-37.8,-8.1,3.1,9.0,226.6,-28.5,4.9,625,   ,-6.6
2270,HCL TECHNOLOGIES,India,Software & Computer Services,18.5,-5.9,42.1,0.6,2996.8,22.8,28.2,72.5,-32.0,-1.5,2.4,593.9,52.3,48.8,19.8,85505,1.4,9.9
2271,ALPHA AND OMEGA SEMICONDUCTOR,Bermuda,Technology Hardware & Equipment,18.5,-9.4,-4.7,   ,,   ,   ,,   ,   ,   ,,   ,   ,   ,,   ,   
2272,J2 GLOBAL,US,Mobile Telecommunications,18.5,36.8,25.7,4.9,377.6,40.2,26.8,23.8,189.1,47.9,6.3,127.2,8.2,17.4,33.7,1130,66.2,23.5
2273,SAPPORO,Japan,Beverages,18.5,-10.5,9.9,0.5,3510.8,3.5,9.4,84.3,-76.1,-11.3,2.4,102.7,4.9,4.6,2.9,7434,2.3,23.1
2274,ELEKTROBIT,Finland,Electronic & Electrical Equipment,18.5,-16.7,-5.1,9.3,199.3,14.6,7.2,4.0,41.5,33.8,2.0,8.1,662.5,  ,4.1,1969,8.4,8.6
2275,ONCOGENEX PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,18.4,28.1,73.5,85.1,21.7,48.7,30.0,0.2,-13.1,55.0,0.8,-25.6,27.8,48.9,-118.2,41,-6.8,14.9
2276,CHONGKUNDANG,South Korea,Pharmaceuticals & Biotechnology,18.4,-17.3,2.3,4.8,385.2,-3.5,2.1,20.7,-42.3,-18.5,5.4,56.6,3.3,3.0,14.7,,   ,   
2277,TUI,Germany,Travel & Leisure,18.4,178.8,3.1,0.1,18477.5,0.8,4.2,597.7,24.5,25.5,3.2,561.2,4.4,16.2,3.0,74445,0.9,4.2
2278,BROS EASTERN,China,Personal Goods,18.4,   ,150.2,4.0,461.3,1.0,-0.9,107.6,186.7,29.7,23.3,45.4,35.0,-25.0,9.8,15212,9.2,   
2279,SHIMA SEIKI,Japan,Industrial Engineering,18.4,2.7,3.9,6.6,279.8,16.2,-1.7,4.7,12.6,-7.1,1.7,18.2,-597.2,-23.5,6.5,1751,0.9,0.4
2280,MISAWA HOMES,Japan,Construction & Materials,18.4,-1.1,2.5,0.6,2933.7,7.9,7.7,55.6,42.0,37.0,1.9,87.7,5.2,25.8,3.0,9396,1.0,2.3
2281,F TECH,Japan,Automobiles & Parts,18.4,12.7,16.3,1.5,1187.6,19.7,7.8,89.3,36.0,41.2,7.5,46.2,50.2,-3.5,3.9,5788,-1.8,1.1
2282,BEIJING ORIENTAL YUHONG WATERPROOF TECHNOLOGY,China,Construction & Materials,18.4,106.8,24.4,4.0,453.6,31.2,25.3,43.5,40.2,47.1,9.6,60.3,75.5,46.0,13.3,3006,35.6,1.4
2283,R STAHL,Germany,Electronic & Electrical Equipment,18.3,4.1,12.6,6.0,304.4,4.6,11.0,17.2,17.0,67.7,5.6,27.7,13.7,14.2,9.1,1853,11.8,7.5
2284,3W POWER,Luxembourg,Alternative Energy,18.3,10.5,3.5,6.8,271.0,-29.3,-4.0,2.6,-65.6,-50.1,1.0,-65.5,-66.6,-19.7,-24.2,1521,-6.2,0.0
2285,FOSTER ELECTRIC,Japan,Electronic & Electrical Equipment,18.3,12.6,0.4,1.6,1154.4,16.8,18.3,21.1,-71.6,-21.7,1.8,27.4,-27.1,-19.2,2.4,61222,   ,2.8
2286,ZHUZHOU KIBING,China,Household Goods & Home Construction,18.3,1396.4,   ,4.5,403.9,29.3,22.0,210.6,32.1,54.0,52.1,72.7,171.6,8.2,18.0,5438,18.3,21.6
2287,NIPPON FLOUR MILLS,Japan,Food Producers,18.3,1.5,-1.2,0.9,1977.1,5.9,4.4,91.1,4.1,27.1,4.6,74.1,11.0,1.7,3.7,3470,5.4,2.1
2288,ACTUATE,US,Software & Computer Services,18.3,5.3,0.5,18.8,97.5,-3.1,0.8,0.4,-89.5,-14.7,0.4,7.6,-45.2,-17.5,7.8,545,-12.4,-1.4
2289,ARUP,UK,Construction & Materials,18.3,22.9,3.0,1.5,1230.7,3.9,2.0,,   ,   ,0.0,28.3,-17.4,-36.3,2.3,10828,6.8,3.2
2290,EVERLIGHT ELECTRONICS,Taiwan,Electronic & Electrical Equipment,18.3,9.3,4.2,3.1,596.8,29.7,12.3,30.4,12.9,-34.4,5.1,53.9,106.3,-8.8,9.0,,-100.0,-100.0
2291,CHINA AVIATION OPTICAL ELECTRICAL TECHNOLOGY,China,Electronic & Electrical Equipment,18.3,56.4,28.7,6.1,300.2,18.3,20.0,27.8,28.8,11.0,9.3,43.0,29.6,16.5,14.3,7673,11.7,9.7
2292,HANERGY SOLAR,Bermuda,Alternative Energy,18.2,44.9,81.9,6.0,306.2,18.8,-1.7,8.6,142.3,-1.3,2.8,219.3,36.0,10.3,71.6,785,85.1,-43.7
2293,BEIJING ZHONGKE SANHUAN HIGH TECH,China,Electronic & Electrical Equipment,18.2,-26.5,25.8,4.2,429.0,-26.1,15.4,28.7,56.9,26.4,6.7,62.7,-48.3,17.0,14.6,5167,2.9,0.3
2294,LUYE PHARMA,Bermuda,Pharmaceuticals & Biotechnology,18.2,   ,23.8,7.7,235.2,   ,   ,,   ,   ,0.0,37.9,   ,   ,16.1,3289,   ,   
2295,BASWARE,Finland,Software & Computer Services,18.1,1.5,6.9,14.7,123.3,8.5,6.2,5.4,-20.6,25.8,4.4,3.3,-59.9,-37.3,2.7,,-100.0,-100.0
2296,DEPO AUTO PARTS INDUSTRIAL,Taiwan,Automobiles & Parts,18.1,1.7,9.3,5.5,329.2,8.0,6.1,46.5,-21.4,-5.3,14.1,43.9,22.7,2.2,13.3,,-100.0,-100.0
2297,GUANGZHOU SHIPYARD,China,Industrial Engineering,18.1,85.8,23.2,3.8,483.2,-35.6,-16.6,17.0,-26.4,-5.4,3.5,-25.4,-785.5,  ,-5.2,9947,156.2,43.1
2298,PETROLIAM NASIONAL,Malaysia,"Oil Equipment, Services & Distribution",18.1,164.5,8.6,0.0,64296.8,30.6,10.4,,   ,   ,0.0,19935.6,5.0,8.9,31.0,5428,   ,   
2299,CONTROL4,US,Electronic & Electrical Equipment,18.1,23.0,16.2,19.4,93.2,17.3,19.7,2.5,47.0,14.0,2.7,3.9,-2855.9,  ,4.2,386,17.0,   
2300,BLUESCOPE STEEL,Australia,Industrial Metals & Mining,18.1,-20.6,-13.2,0.4,5130.3,9.7,-4.3,191.4,1.6,-7.8,3.7,65.8,652.2,  ,1.3,,-100.0,   
2301,KONAMI,Japan,Software & Computer Services,18.0,8.6,6.6,1.2,1498.4,-3.7,-5.5,182.9,167.5,36.0,12.2,70.6,-53.1,-23.3,4.7,5453,-1.5,-1.8
2302,PLX TECHNOLOGY,US,Technology Hardware & Equipment,18.0,-9.6,-6.9,23.8,75.8,4.2,-3.3,,   ,   ,0.0,5.7,275.3,0.6,7.5,157,0.6,-15.5
2303,OCADO,UK,Food & Drug Retailers,18.0,11.0,43.2,1.9,945.9,16.7,15.4,72.5,-26.5,60.5,7.7,-4.2,-252.2,-13.6,-0.4,5742,9.2,10.5
2304,CASETEK,Cayman Islands,Electronic & Electrical Equipment,18.0,-30.3,48.2,2.0,882.0,10.2,36.9,22.7,-87.2,-9.3,2.6,203.6,74.0,104.2,23.1,,-100.0,-100.0
2305,VALIO,Finland,Food Producers,18.0,5.9,4.0,0.9,2029.1,1.5,3.7,,   ,   ,0.0,85.7,24.3,9.8,4.2,4613,0.3,1.6
2306,SERENA SOFTWARE,US,Software & Computer Services,18.0,-8.3,-7.8,13.5,132.7,-10.0,-5.1,,   ,   ,0.0,23.8,-1.8,58.4,17.9,,-100.0,-100.0
2307,MESNAC,China,Software & Computer Services,18.0,12.6,   ,6.3,286.7,61.5,18.6,5.3,-66.1,-42.0,1.9,5.6,-65.6,-50.4,1.9,3638,1.3,5.4
2308,HERMES MICROVISION,Taiwan,Electronic & Electrical Equipment,18.0,3.6,30.2,13.9,128.9,27.8,46.2,3.5,215.9,115.8,2.7,59.5,42.2,151.0,46.2,,-100.0,-100.0
2309,RATOS,Sweden,Financial Services,17.9,34.7,38.4,0.6,2944.3,-3.7,-2.3,80.1,-20.9,0.0,2.7,139.5,-23.5,-28.9,4.7,16717,-2.3,-3.2
2310,FUJIKURA KASEI,Japan,Construction & Materials,17.9,17.3,7.9,3.6,496.9,34.0,11.1,9.5,-5.7,31.3,1.9,16.1,66.6,-13.7,3.2,1114,6.3,8.4
2311,SONIX TECHNOLOGY,Taiwan,Technology Hardware & Equipment,17.9,5.3,0.2,20.3,87.9,2.8,-5.8,1.2,314.5,2.7,1.3,15.3,-5.0,-13.1,17.4,,-100.0,-100.0
2312,CHIMERIX,US,Pharmaceuticals & Biotechnology,17.9,-18.1,5.4,564.3,3.2,-87.0,36.6,0.1,53.2,18.2,4.4,-20.8,928.4,4.2,-654.9,52,13.0,   
2313,VENTURE,Singapore,Electronic & Electrical Equipment,17.9,5.7,-0.4,1.3,1334.6,-2.4,-4.5,20.0,18.1,9.9,1.5,75.0,-5.2,-12.3,5.6,,   ,   
2314,INTREXON,US,Pharmaceuticals & Biotechnology,17.9,-51.0,   ,103.7,17.2,70.6,   ,1.1,-79.6,   ,6.4,-42.1,-22.8,   ,-244.2,208,   ,   
2315,SHENZHEN TIANYUAN DIC INFORMATION TECHNOLOGY,China,Technology Hardware & Equipment,17.8,130.3,69.0,14.7,121.4,53.9,61.4,18.1,8.3,5.9,14.9,16.8,31.8,33.0,13.8,2421,8.7,16.7
2316,SHINKAWA,Japan,Technology Hardware & Equipment,17.8,27.3,20.0,34.6,51.5,-34.1,-28.9,4.4,-9.8,20.8,8.6,-38.7,119.5,92.1,-75.1,702,8.5,1.5
2317,HB FULLER,US,Chemicals,17.8,15.6,8.7,1.2,1484.3,8.5,17.7,90.1,246.1,57.6,6.1,135.4,16.0,29.6,9.1,3700,0.0,3.4
2318,ANHUI HELI,China,Industrial Engineering,17.8,19.5,20.6,2.3,768.2,9.6,8.7,20.8,-40.7,-6.8,2.7,67.1,34.1,6.0,8.7,6128,8.9,3.8
2319,DAHENG NEW EPOCH TECHNOLOGY,China,Electronic & Electrical Equipment,17.8,30.1,15.8,4.3,411.1,-8.2,-4.0,3.3,-80.1,-23.5,0.8,-6.2,-174.8,  ,-1.5,3078,-5.4,6.7
2320,FUTABA INDUSTRIAL,Japan,Automobiles & Parts,17.8,19.6,6.7,0.6,2750.2,9.3,2.3,135.4,8.3,7.9,4.9,3.8,-123.6,-63.1,0.1,9783,1.9,1.2
2321,INVACARE,US,Health Care Equipment & Services,17.8,0.3,-1.8,1.8,980.6,-7.1,-1.7,10.3,-29.5,-6.6,1.0,-18.7,-185.5,  ,-1.9,5400,-12.9,-5.0
2322,ZS PHARMA,US,Pharmaceuticals & Biotechnology,17.8,250.7,   ,   ,,   ,   ,2.7,434.1,   ,   ,-23.3,295.6,   ,   ,,   ,   
2323,KURABO INDUSTRIES,Japan,Personal Goods,17.8,34.5,13.1,1.6,1137.8,12.4,4.4,36.2,-40.6,18.0,3.2,20.9,13.5,-3.9,1.8,4788,-5.3,-2.5
2324,KOMAX,Switzerland,Industrial Engineering,17.8,5.7,9.6,6.4,277.3,18.9,0.2,4.4,-22.4,9.2,1.6,26.9,131.3,3.7,9.7,1381,3.8,10.5
2325,INTRALOT,Greece,Technology Hardware & Equipment,17.8,-10.1,-13.2,1.2,1539.4,12.0,11.3,,   ,   ,0.0,103.3,21.9,8.5,6.7,709,0.0,-47.3
2326,KEMET,US,Electronic & Electrical Equipment,17.7,-12.6,-1.8,2.9,604.5,1.2,-6.5,23.3,-30.4,-2.8,3.9,-3.0,-75.0,  ,-0.5,9625,-1.8,-4.4
2327,CUBIC,US,Electronic & Electrical Equipment,17.7,-14.9,8.8,1.8,987.2,-3.0,4.3,6.6,-36.4,9.6,0.7,35.4,-64.1,-22.9,3.6,,   ,-100.0
2328,GLANBIA,Ireland,Food Producers,17.7,19.5,8.3,0.7,2382.1,7.7,3.2,94.9,44.0,43.3,4.0,226.2,37.0,14.1,9.5,3750,-1.9,4.2
2329,LITTELFUSE,US,General Industrials,17.7,15.0,11.5,3.2,549.5,13.5,7.6,25.3,55.1,15.9,4.6,86.4,19.8,3.5,15.7,7400,23.3,7.2
2330,METSALIITTO,Finland,Forestry & Paper,17.7,-9.7,-5.5,0.4,5001.0,-6.5,1.1,,   ,   ,0.0,237.5,719.0,  ,4.7,11986,-8.1,-7.7
2331,UPONOR,Finland,Construction & Materials,17.7,11.3,3.2,2.0,906.0,11.6,6.5,33.9,76.6,21.3,3.7,50.8,-11.8,-0.6,5.6,4141,35.7,9.0
2332,ENDURANCE INTERNATIONAL GROUP HOLDINGS,US,Software & Computer Services,17.7,76.8,107.1,4.7,377.3,78.1,81.0,24.9,21.7,181.8,6.6,-45.7,-30.2,27.4,-12.1,2204,   ,   
2333,ALVARION,Israel,Technology Hardware & Equipment,17.7,-12.8,-21.7,48.8,36.2,-73.7,-41.2,0.6,-76.2,-52.0,1.6,-14.6,-38.7,31.5,-40.3,356,-34.3,-26.0
2334,GENIUS ELECTRONIC OPTICAL,Taiwan,Electronic & Electrical Equipment,17.6,16.6,37.4,7.6,231.5,-15.8,28.2,49.9,-40.2,21.8,21.5,-12.0,-135.4,  ,-5.2,,-100.0,-100.0
2335,J M SMUCKER,US,Food Producers,17.6,-1.6,5.0,0.4,4068.3,-4.9,5.2,202.7,35.4,15.8,5.0,691.8,-1.8,2.1,17.0,4775,-2.1,2.0
2336,BENEFITFOCUS,US,Software & Computer Services,17.6,39.4,39.5,23.2,76.0,28.2,16.0,6.5,41.4,38.8,8.5,-20.4,120.2,258.9,-26.9,1000,   ,   
2337,LITE ON SEMICONDUCTOR,Taiwan,Technology Hardware & Equipment,17.6,31.8,17.0,7.6,232.0,11.3,-2.6,15.4,17.2,3.0,6.7,16.1,34.5,-5.7,6.9,,-100.0,-100.0
2338,WMF,Germany,Household Goods & Home Construction,17.6,11.7,5.7,1.7,1015.0,-1.2,4.0,34.6,-1.6,10.2,3.4,47.4,-31.7,-7.3,4.7,6133,1.3,0.7
2339,SBM OFFSHORE,The Netherlands,"Oil Equipment, Services & Distribution",17.5,-4.5,-7.1,0.5,3482.7,32.0,16.3,133.4,-70.6,-27.5,3.8,193.6,-414.1,-11.5,5.6,8358,41.8,26.7
2340,BLINKX,UK,Software & Computer Services,17.5,59.2,43.9,9.9,177.1,14.1,53.2,,   ,   ,0.0,12.3,-1.8,39.6,6.9,282,6.4,36.9
2341,NORGINE,The Netherlands,Pharmaceuticals & Biotechnology,17.5,66.3,6.8,6.7,262.7,5.1,-6.2,,   ,   ,0.0,-1.4,-111.5,  ,-0.5,1233,1.8,   
2342,SFS GROUP,Switzerland,Electronic & Electrical Equipment,17.5,-8.5,   ,1.6,1080.1,12.0,   ,61.0,14.5,   ,5.6,107.6,26.6,   ,10.0,7110,-0.2,   
2343,VARITRONIX,Bermuda,Electronic & Electrical Equipment,17.5,13.4,22.7,7.2,243.5,17.2,4.9,11.0,-60.0,35.5,4.5,17.8,188.6,-11.6,7.3,4861,2.4,1.8
2344,MAX,Japan,Industrial Engineering,17.5,3.7,2.5,3.9,446.2,12.5,6.0,9.8,-31.5,-12.0,2.2,28.7,4.0,0.3,6.4,2821,4.2,9.2
2345,LIVZON PHARMACEUTICAL,China,Pharmaceuticals & Biotechnology,17.5,237.8,78.7,3.3,536.0,16.6,18.9,,   ,   ,0.0,73.3,20.6,6.1,13.7,5058,-9.5,2.9
2346,CELLTRION,South Korea,Pharmaceuticals & Biotechnology,17.4,-15.7,16.3,11.2,155.4,-35.4,7.7,59.9,-24.2,-13.0,38.5,68.6,-48.9,-2.0,44.1,,   ,   
