World rank,Company,Country,Industry,R&D 2016/17 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees (th),Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%)
289,NIDEC,Japan,Electronic & Electrical Equipment,428.9,1.6,9741.1,1.8,4.4,558.1,-16.1,5.7,1139.8,12.7,11.7,107.1,10.8,22574.0,-1.5
290,SEIKO EPSON,Japan,Technology Hardware & Equipment,428.3,-0.8,8324.1,-6.2,5.1,573.7,18.5,6.9,534.5,-21.0,6.4,72.4,7.1,6433.4,0.8
291,THYSSENKRUPP,Germany,Industrial Metals & Mining,427.0,13.9,39263.0,-8.2,1.1,1216.0,5.7,3.1,1193.0,1.4,3.0,156.5,1.0,11812.3,7.7
292,CIENA,US,Technology Hardware & Equipment,424.8,8.4,2467.1,6.3,17.2,101.7,72.6,4.1,157.2,23.1,6.4,5.6,3.9,2810.5,12.5
293,CHONGOING CHANGAN,China,Automobiles & Parts,423.5,19.4,10089.4,17.4,4.2,634.0,53.9,6.3,-43.0,-307.6,-0.4,41.2,9.9,1302.2,-4.8
294,TORONTO DOMINION,Canada,Banks,422.5,51.8,22588.2,10.3,1.9,527.1,18.0,2.3,7827.8,16.0,34.7,81.2,-0.3,76720.5,11.6
295,EDWARDS LIFESCIENCES,US,Health Care Equipment & Services,420.5,15.7,2811.6,18.8,15.0,206.2,104.1,7.3,771.9,26.5,27.5,11.1,13.3,23256.9,61.9
296,NETEASE,China,Software & Computer Services,415.9,41.1,5211.6,67.4,8.0,155.0,31.1,3.0,1723.9,73.7,33.1,15.9,13.8,26438.9,91.8
297,PEGATRON,Taiwan,Software & Computer Services,413.8,-4.0,34006.4,-4.6,1.2,365.8,8.7,1.1,1014.2,-17.6,3.0,,,5802.8,-9.9
298,SANDVIK,Sweden,Industrial Engineering,413.3,2.5,8838.6,-7.0,4.7,283.5,-17.1,3.2,1010.9,56.4,11.4,44.8,-3.9,12205.8,13.6
299,OMRON,Japan,Electronic & Electrical Equipment,411.8,-4.0,6450.7,-4.7,6.4,209.7,-31.9,3.3,548.8,8.5,8.5,36.0,-4.5,6099.7,-24.2
300,CHINA SHIPBUILDING,China,Industrial Engineering,411.5,-33.3,6970.8,-13.0,5.9,175.5,-43.6,2.5,-34.7,-88.8,-0.5,41.8,-27.9,16497.4,-45.7
301,PHILIP MORRIS INTERNATIONAL,US,Tobacco,407.0,1.4,25315.4,-0.4,1.6,1111.8,22.1,4.4,10259.9,1.8,40.5,79.5,-0.9,147067.7,25.4
302,WISTRON,Taiwan,Technology Hardware & Equipment,405.2,3.1,19384.0,5.9,2.1,190.7,71.6,1.0,180.3,149.1,0.9,83.3,37.2,1815.1,50.2
303,XEROX,US,Technology Hardware & Equipment,404.1,-19.3,10218.2,-6.1,4.0,130.9,-6.8,1.3,979.0,-9.9,9.6,37.6,-73.8,9468.8,-8.2
304,KEYSIGHT TECHNOLOGIES,US,Electronic & Electrical Equipment,403.2,10.4,2768.2,2.2,14.6,86.3,-1.1,3.1,385.2,-5.8,13.9,10.3,0.5,4914.2,-4.5
305,VALEANT PHARMACEUTICALS,Canada,Pharmaceuticals & Biotechnology,399.4,25.9,9177.5,-7.4,4.4,222.9,-0.1,2.4,-67.4,-104.0,-0.7,21.5,-2.3,9231.7,-87.4
306,SHIN-ETSU CHEMICAL,Japan,Chemicals,398.2,-7.8,10050.5,-3.3,4.0,1095.7,-8.4,10.9,1921.6,13.5,19.1,19.2,4.3,26080.4,13.8
307,UNITED MICROELECTRONICS,Taiwan,Technology Hardware & Equipment,397.5,11.2,4343.5,2.1,9.2,2689.5,51.3,61.9,189.7,-49.1,4.4,19.5,6.3,4264.5,5.9
