EU R&D Scoreboard 2015 :  World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,,
, , ,Industrial sector , R&D 2014, R&D 1 year growth, R&D 3 years growth,Sales 2014,Sales 1 year growth,Sales 3 years growth,R&D intensity,Capex 2014,Capex 1 year growth,Capex 3 years growth,Capex int.,Profits 2014,Profits 1 year growth,Profits 3 years growth,Profitability,Employees 2014,Employees 1-year growth,Employees 3-years growth
world rank,Name,Country,(ICB-3D),(€million),(%),"(CAGR-3y, %)",(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%), ,(%),"(CAGR-3y, %)"
1453,RENESOLA,China,Electronic & Electrical Equipment,43.3,13.2,-0.4,"1,286.1",2.8,15.5,3.4,69.6,-6.2,-12.1,5.4,6.8,-144.0,,0.5,"7,874",3.7,0.0
1454,HANGZHOU SUNYARD SYSTEM ENGINEERING,China,Software & Computer Services,43.3,29.7,21.7,145.5,19.0,11.4,29.8,2.1,10.4,12.4,1.4,9.4,-2.7,-0.4,6.5,"5,368",69.3,8.9
1455,COMPUTATIONAL DYNAMICS,UK,Software & Computer Services,43.3,49.9,43.4,113.9,11.2,11.3,38.0,,,,0.0,6.1,"-1,555.4",,5.4,430,11.1,10.1
1456,AMORE PACIFIC,South Korea,Personal Goods,43.3,7.1,-5.2,"3,530.4",21.0,8.4,1.2,296.5,-3.3,0.1,8.4,493.8,40.3,2.6,14.0,,,
1457,WOLFSON MICROELECTRONICS,UK,Technology Hardware & Equipment,43.2,5.5,4.8,147.8,-0.2,4.5,29.2,,,,0.0,-16.4,107.8,-6.1,-11.1,440,4.5,-0.6
1458,GIANT INTERACTIVE,China,Software & Computer Services,43.2,-4.0,19.3,317.1,8.4,17.5,13.6,,,,0.0,196.1,10.6,19.9,61.9,"1,529",-10.1,-2.7
1459,DELHAIZE,Belgium,Food & Drug Retailers,43.0,19.4,-14.7,"21,361.0",3.7,-0.8,0.2,528.0,8.6,-10.4,2.5,596.0,-20.8,-7.7,2.8,"152,008",-5.5,
1460,DIODES,US,Electronic & Electrical Equipment,42.9,7.9,21.1,733.6,7.7,9.2,5.9,47.6,22.8,-16.5,6.5,69.6,84.2,-13.9,9.5,"6,794",10.5,11.0
1461,BRASKEM,Brazil,Chemicals,42.9,19.5,5.3,"14,277.0",12.4,7.3,0.3,"1,644.4",-6.3,35.9,11.5,"1,107.0",30.3,12.4,7.8,,-100.0,2.9
1462,VIOLIN MEMORY,US,Technology Hardware & Equipment,42.9,-29.4,40.4,65.0,-26.6,25.9,66.0,9.7,26.3,22.9,14.9,-94.2,-19.2,52.7,-144.9,329,80.8,
1463,TYSON FOODS,US,Food Producers,42.8,4.0,6.0,"30,953.0",9.3,2.4,0.1,520.5,13.3,-4.6,1.7,"1,177.8",4.0,2.2,3.8,"124,000",7.8,0.0
1464,WISTRON NEWEB,Taiwan,Technology Hardware & Equipment,42.8,6.3,2.1,"1,048.3",10.0,2.6,4.1,28.6,68.8,-16.0,2.7,45.7,-4.3,-5.5,4.4,,,-100.0
1465,AEROJET ROCKETDYNE,US,Aerospace & Defence,42.7,20.7,16.2,"1,315.7",15.5,14.6,3.2,35.7,-31.3,44.1,2.7,61.0,176.1,-15.5,4.6,"5,071",-5.8,18.1
1466,TOWER SEMICONDUCTOR,Israel,Technology Hardware & Equipment,42.7,56.8,9.9,682.0,64.0,-6.2,6.3,41.4,-38.6,-11.3,6.1,-46.2,1.4,,-6.8,"3,911",38.7,-3.9
1467,TSUMURA,Japan,Pharmaceuticals & Biotechnology,42.7,5.1,9.2,754.0,0.3,4.9,5.7,65.7,25.5,1.6,8.7,126.4,-17.6,1.9,16.8,"3,335",15.1,1.3
1468,OXFORD INSTRUMENTS,UK,Electronic & Electrical Equipment,42.7,28.7,4.4,495.6,7.1,2.2,8.6,5.7,-35.3,6.7,1.1,0.8,-97.3,-14.0,0.2,"2,420",18.0,3.8
1469,PROOFPOINT,US,Software & Computer Services,42.7,50.6,20.3,161.1,41.8,19.0,26.5,12.3,95.5,15.9,7.7,-42.1,73.4,14.6,-26.1,859,26.3,21.8
1470,FERROVIAL,Spain,Construction & Materials,42.6,29.5,-13.7,"8,802.0",7.8,3.1,0.5,,,,0.0,744.0,-10.0,4.5,8.5,"66,638",0.8,4.3
1471,HALOZYME THERAPEUTICS,US,Pharmaceuticals & Biotechnology,42.5,-22.1,73.9,62.0,37.5,-0.8,68.5,1.1,-40.5,40.5,1.8,-51.9,-21.6,63.0,-83.7,153,-10.0,8.0
1472,INTEGRA LIFESCIENCES,US,Health Care Equipment & Services,42.5,-0.9,0.4,764.6,11.0,2.3,5.6,34.5,-12.4,7.6,4.5,54.0,-745.3,,7.1,"3,400",3.0,-1.0
1473,STANDARD LIFE,UK,Life insurance,42.4,32.0,-13.0,"3,012.1",-10.0,-7.1,1.4,,,,0.0,"-4,741.1",8.0,1.5,-157.4,,-100.0,-2.2
1474,BROADSOFT,US,Software & Computer Services,42.3,1.2,22.3,178.6,21.5,8.9,23.7,8.7,81.8,20.3,4.9,5.9,-196.4,,3.3,867,19.6,14.2
1475,HIROSE ELECTRIC,Japan,Technology Hardware & Equipment,42.3,4.5,3.9,858.4,0.6,9.7,4.9,96.3,17.5,3.5,11.2,222.5,-1.3,19.1,25.9,"4,044",2.0,0.2
1476,XOMA,US,Pharmaceuticals & Biotechnology,42.2,8.0,24.8,15.5,-46.8,-15.2,271.8,0.3,-72.2,-29.3,1.7,-67.3,41.2,19.5,-433.3,183,8.9,-3.7
1477,HITACHI ZOSEN,Japan,Industrial Engineering,42.2,-1.7,-2.6,"2,453.3",7.8,3.2,1.7,81.5,125.6,-13.4,3.3,78.4,45.7,-11.5,3.2,"9,581",4.5,1.2
1478,GAS TURBINE EFFICIENCY,UK,Industrial Engineering,42.2,-1.9,17.7,"5,414.8",14.3,0.5,0.8,48.6,-30.2,5.3,0.9,420.9,38.4,42.0,7.8,"31,940",6.9,2.4
1479,BOLIDEN,Sweden,Mining,42.2,-3.9,3.2,"3,927.5",7.2,-5.1,1.1,370.7,-29.7,7.5,9.4,293.7,52.9,-27.6,7.5,"4,881",1.4,2.9
1480,LONKING HOLDINGS,China,Industrial Engineering,42.1,-0.7,-2.7,999.7,-9.0,-13.8,4.2,14.2,-56.4,-38.8,1.4,113.1,-15.3,-24.9,11.3,,,
1481,IMMUNOGEN,US,Pharmaceuticals & Biotechnology,42.1,-15.3,2.8,70.5,42.8,54.1,59.7,6.1,-9.3,41.2,8.7,-44.9,-23.9,-0.8,-63.7,317,3.3,7.8
1482,SPX,US,Industrial Engineering,42.1,14.3,2.8,"3,888.6",-1.1,3.8,1.1,50.3,10.9,-27.6,1.3,184.7,-40.4,13.5,4.8,"14,000",0.0,-8.0
1483,DATALOGIC,Italy,Electronic & Electrical Equipment,42.1,5.8,12.7,464.6,3.1,1.9,9.1,11.2,,,2.4,47.6,4.7,7.7,10.2,"2,470",4.5,-0.9
1484,TENNECO,US,Automobiles & Parts,42.0,18.6,1.6,"6,935.2",5.7,3.4,0.6,283.3,27.9,5.7,4.1,447.2,7.7,8.3,6.4,"29,000",11.5,2.7
1485,LIFELOCK,US,Software & Computer Services,42.0,24.5,32.1,392.1,28.8,24.0,10.7,12.0,39.9,72.5,3.1,5.0,-64.7,52.5,1.3,669,-0.9,
1486,TOWA PHARMACEUTICAL,Japan,Pharmaceuticals & Biotechnology,41.9,16.0,9.1,488.0,16.5,8.0,8.6,90.9,67.5,-4.1,18.6,75.8,44.1,-5.4,15.5,"2,060",9.6,6.2
1487,SILICON GRAPHICS INTERNATIONAL,US,Technology Hardware & Equipment,41.9,-19.9,0.6,429.3,-1.6,-11.0,9.8,5.4,-61.2,45.3,1.2,-28.0,-36.6,41.4,-6.5,"1,100",-4.3,-8.5
1488,TKH,The Netherlands,Electronic & Electrical Equipment,41.9,23.8,35.6,"1,350.4",12.7,4.1,3.1,34.9,64.8,-4.4,2.6,118.4,75.7,-4.4,8.8,"5,030",4.7,5.7
1489,OCTAPHARMA,Switzerland,Pharmaceuticals & Biotechnology,41.8,-8.7,1.7,"1,279.6",8.3,16.8,3.3,,,,0.0,271.2,76.7,33.4,21.2,"5,683",3.1,6.9
1490,DANIELI,Italy,Industrial Engineering,41.8,1.6,-8.0,"2,987.0",1.7,-1.6,1.4,133.1,,,4.5,361.4,-20.3,9.8,12.1,"11,424",4.4,5.2
1491,AISINO,China,Software & Computer Services,41.8,48.5,20.9,"2,669.7",20.7,13.1,1.6,52.9,130.8,27.0,2.0,262.6,20.3,6.0,9.8,"17,730",25.6,3.2
1492,RENREN,China,Software & Computer Services,41.7,-37.1,25.9,68.3,-47.1,9.9,61.1,6.6,-72.4,15.2,9.7,-131.3,40.2,55.6,-192.1,"1,602",-34.4,-10.5
1493,NINGBO JOYSON ELECTRONIC,China,Automobiles & Parts,41.7,47.2,452.9,909.3,14.9,63.2,4.6,102.1,31.1,82.7,11.2,67.0,6.9,27.0,7.4,"6,389",15.1,33.7
1494,SAWAI PHARMACEUTICAL,Japan,Pharmaceuticals & Biotechnology,41.7,18.2,6.2,720.0,17.4,9.9,5.8,83.9,75.1,26.7,11.7,141.2,8.4,8.7,19.6,"1,239",10.5,4.2
1495,TECO ELECTRIC & MACHINERY,Taiwan,Electronic & Electrical Equipment,41.7,3.6,10.1,"1,399.1",-4.9,6.5,3.0,50.3,142.6,-14.1,3.6,138.4,1.0,11.5,9.9,,,-100.0
1496,WILO,Germany,Industrial Engineering,41.7,13.4,2.8,"1,230.8",3.7,5.1,3.4,,,,0.0,124.5,4.1,2.4,10.1,"7,194",4.3,3.3
1497,NORITZ,Japan,General Industrials,41.6,12.2,1.3,"1,494.8",9.3,2.8,2.8,46.9,-3.6,2.3,3.1,45.8,-25.3,3.6,3.1,"9,422",2.8,18.4
1498,NKT,Denmark,Electronic & Electrical Equipment,41.6,0.6,-5.3,"2,134.5",0.3,0.4,1.9,32.7,-5.4,-16.8,1.5,83.6,1.7,12.8,3.9,"9,078",2.0,-0.5
1499,U SHIN,Japan,Automobiles & Parts,41.5,40.3,35.9,"1,065.0",43.8,22.9,3.9,54.2,-25.7,14.5,5.1,20.3,86.8,-22.4,1.9,"6,561",3.9,38.6
1500,TRUECAR,US,Software & Computer Services,41.5,65.9,18.1,170.2,54.3,20.6,24.4,13.1,89.1,-13.0,7.7,-37.2,124.6,12.2,-21.9,63,,
1501,ALK ABELLO,Denmark,Pharmaceuticals & Biotechnology,41.4,-21.0,-4.1,327.4,8.4,-1.5,12.7,22.3,-10.8,16.4,6.8,42.1,138.9,-24.0,12.9,"1,844",4.6,-0.3
1502,CRITEO,France,Media,41.4,32.2,56.2,745.1,67.8,45.7,5.6,35.4,60.8,50.9,4.7,40.7,"1,180.0",-33.2,5.5,"1,630",,
1503,AFFYMETRIX,US,Pharmaceuticals & Biotechnology,41.4,4.1,-9.1,287.5,5.6,8.1,14.4,6.5,43.1,-15.0,2.3,5.9,-199.5,-24.1,2.1,"1,100",0.0,7.9
1504,RELYPSA,US,Pharmaceuticals & Biotechnology,41.4,-14.4,42.3,,,,,2.1,-31.3,193.1,,-64.4,10.2,40.6,,115,57.5,
1505,RISO KAGAKU,Japan,Technology Hardware & Equipment,41.3,0.0,5.9,584.9,2.1,3.9,7.1,9.7,-67.0,70.4,1.7,46.3,4.7,19.0,7.9,"3,549",-1.3,3.5
1506,EIZO NANAO,Japan,Technology Hardware & Equipment,41.3,4.3,3.0,495.5,-1.4,7.3,8.3,9.4,-4.0,5.0,1.9,30.5,-34.3,15.6,6.2,"1,761",5.1,2.6
1507,WACKER NEUSON,Germany,Industrial Engineering,41.3,15.6,7.2,"1,284.3",10.8,5.4,3.2,73.8,2.8,-11.8,5.7,126.3,27.1,-6.0,9.8,"4,372",5.2,5.8
1508,KONTRON,Germany,Technology Hardware & Equipment,41.2,-13.5,-7.2,456.8,2.6,-8.9,9.0,4.2,21.9,-20.0,0.9,-5.5,-81.0,,-1.2,"1,342",-36.4,-11.6
1509,PHISON ELECTRONICS,Taiwan,Electronic & Electrical Equipment,41.2,1.8,9.9,859.8,2.8,-0.2,4.8,1.8,-72.8,-23.7,0.2,90.5,-3.4,9.0,10.5,,,-100.0
1510,MOLNLYCKE HEALTH CARE,Sweden,Health Care Equipment & Services,41.2,19.9,7.7,894.4,5.2,1.3,4.6,,,,0.0,218.7,9.2,5.4,24.4,469,3.3,9.1
1511,SHERWIN WILLIAMS,US,General Industrials,41.2,6.3,4.1,"9,166.9",9.3,5.1,0.4,165.2,20.3,2.7,1.8,"1,074.1",13.7,13.7,11.7,"39,674",5.4,4.5
1512,CHINA AVIONICS SYSTEMS,China,Aerospace & Defence,41.2,12.7,171.6,862.0,9.6,17.6,4.8,64.1,-22.1,33.2,7.4,123.4,19.3,16.6,14.3,"14,287",1.0,8.7
1513,GREATBATCH,US,Health Care Equipment & Services,41.1,177.6,-1.9,566.5,3.6,5.3,7.2,20.4,33.8,-6.2,3.6,71.5,14.9,7.0,12.6,"3,690",9.0,1.1
1514,FORTUM,Finland,Electricity,41.0,-16.3,8.8,"4,751.0",-21.5,-0.6,0.9,,-100.0,-0.4,0.0,"1,351.0",-15.9,-11.9,28.4,"8,592",-13.1,-2.8
1515,MITSUI,Japan,General Industrials,41.0,-7.7,24.9,"36,901.5",-5.7,3.0,0.1,"2,365.2",-14.8,3.7,6.4,"1,783.5",-14.4,-5.3,4.8,"47,118",-2.0,2.4
1516,AMARIN,UK,Pharmaceuticals & Biotechnology,41.0,-30.9,49.3,44.6,105.7,,91.7,,-100.0,-67.2,0.0,-76.0,-49.4,60.3,-170.2,201,8.6,81.4
1517,NIPPON PAINT,Japan,Industrial Engineering,40.9,1.2,-3.5,"1,779.1",0.0,5.4,2.3,28.6,-24.3,21.5,1.6,230.1,0.9,27.0,12.9,"15,780",,-100.0
1518,TOHOKU ELECTRIC POWER,Japan,Electricity,40.8,12.7,-9.2,"14,897.8",7.0,6.6,0.3,"1,759.1",-1.6,-2.0,11.8,"1,158.9",98.2,,7.8,"24,536",-0.5,0.1
1519,AXALTA COATING SYSTEMS,US,Construction & Materials,40.8,22.2,,"3,617.1",10.2,,1.1,,-100.0,,0.0,304.3,"1,383.9",,8.4,"12,600",,
1520,CHINA SINOMA INTERNATIONAL ENGINEERING,China,Construction & Materials,40.7,3.8,-13.5,"3,055.7",10.8,-6.2,1.3,21.3,-62.8,9.5,0.7,99.8,-34.9,-17.0,3.3,"9,984",-3.7,-1.5
1521,CHEGG,US,Software & Computer Services,40.7,17.7,12.3,251.1,19.3,14.1,16.2,97.1,-9.0,19.1,38.7,-53.1,26.3,12.2,-21.1,709,11.0,
1522,ORBITAL ATK,US,Aerospace & Defence,40.6,-21.1,-2.0,"2,614.3",8.5,-14.1,1.6,92.8,6.6,-4.7,3.6,191.0,-23.2,-15.2,7.3,"12,300",-23.1,-2.0
1523,888 HOLDINGS,UK,Travel & Leisure,40.6,19.7,6.6,374.5,13.5,6.5,10.8,4.5,-39.6,25.8,1.2,65.9,42.3,44.0,17.6,"1,306",4.2,10.5
1524,ECOTIVE,UK,Automobiles & Parts,40.5,121.4,,,,,,,,,,-48.4,163.4,119.0,,,,
1525,FOSHAN HAITIAN,China,Food Producers,40.5,5.6,14.8,"1,299.8",16.8,11.0,3.1,118.7,-13.0,,9.1,317.2,25.3,17.3,24.4,"3,995",1.3,
1526,ASCOM,Switzerland,Technology Hardware & Equipment,40.5,4.7,-5.0,373.7,-2.4,-3.6,10.8,3.6,53.6,-18.1,1.0,39.0,-1.3,21.2,10.4,"1,696",6.9,-4.1
1527,ONCONOVA THERAPEUTICS,US,Pharmaceuticals & Biotechnology,40.5,6.8,29.6,0.7,-83.2,47.3, ,0.2,-62.6,33.5,28.5,-52.5,2.4,31.2, ,50,-21.9,
1528,SUDZUCKER,Germany,Food Producers,40.4,-4.9,4.2,"6,777.6",-10.0,2.5,0.6,386.2,2.5,10.9,5.7,353.6,-49.2,43.2,5.2,"18,460",1.5,1.3
1529,CORBION,The Netherlands,Food Producers,40.4,2.5,-1.8,770.1,3.6,-38.0,5.2,67.8,2.6,-13.8,8.8,12.9,-65.6,,1.7,"1,893",0.4,-42.4
1530,NOVA CHEMICALS,Canada,Chemicals,40.4,8.9,6.7,"4,163.6",-3.9,9.1,1.0,,,,0.0,707.5,-15.5,276.7,17.0,"2,500",,
1531,MANHATTAN ASSOCIATES,US,Software & Computer Services,40.3,9.9,1.7,405.3,18.7,8.0,9.9,7.8,98.6,-2.2,1.9,104.7,25.5,19.8,25.8,"2,770",9.5,5.8
1532,MINTH,China,Automobiles & Parts,40.2,15.0,7.5,899.7,21.3,12.3,4.5,148.0,34.6,32.6,16.4,170.7,11.3,9.4,19.0,"10,238",14.5,11.4
1533,POSTEN NORDEN,Sweden,Industrial Transportation,40.1,-11.9,1.0,"4,253.2",1.1,0.1,0.9,,,,0.0,37.4,-48.1,-24.5,0.9,"37,976",-3.4,-2.0
1534,KOREA GAS,South Korea,"Gas, Water & Multi-utilities",40.1,11.2,6.6,"27,935.8",-2.0,10.2,0.1,"2,792.9",-15.0,9.0,10.0,803.1,-28.0,13.3,2.9,,,
1535,A10 NETWORKS,US,Software & Computer Services,40.1,53.4,24.0,147.9,26.6,15.8,27.1,5.0,103.8,-14.2,3.4,-27.3,192.5,,-18.4,704,19.1,
1536,NESTE OIL,Finland,Oil & Gas Producers,40.0,0.0,-1.6,"15,011.0",-14.0,4.2,0.3,261.0,30.5,-16.3,1.7,379.0,-33.4,,2.5,"4,989",-2.1,1.1
1537,SOPRA STERIA,France,Software & Computer Services,39.9,-47.9,38.6,"2,280.4",69.0,8.7,1.8,26.3,53.7,19.3,1.2,169.7,43.2,1.5,7.4,"37,358",129.4,8.9
1538,TELIT COMMUNICATIONS,UK,Technology Hardware & Equipment,39.8,167.7,-6.3,242.2,20.9,11.1,16.5,7.9,98.3,-21.6,3.3,12.5,94.7,27.7,5.1,694,21.1,11.6
1539,LEONHARD KURZ STIFTUNG,Germany,General Industrials,39.8,12.5,5.0,601.3,-1.3,5.3,6.6,,,,0.0,57.1,-7.9,-3.8,9.5,"4,118",3.9,2.5
1540,MSA SAFETY,US,Health Care Equipment & Services,39.7,5.2,5.3,933.9,2.0,0.0,4.3,27.7,-8.0,6.3,3.0,118.8,2.9,4.9,12.7,"5,000",0.0,-1.9
1541,JENOPTIK,Germany,Industrial Engineering,39.7,-0.7,7.3,590.2,-1.7,3.4,6.7,25.5,45.2,-8.5,4.3,45.5,-9.5,-0.6,7.7,"3,553",3.5,5.9
1542,PACIFIC BIOSCIENCES OF CALIFORNIA,US,Pharmaceuticals & Biotechnology,39.7,11.6,-15.5,49.9,115.0,-5.9,79.6,1.3,77.0,-53.9,2.7,-51.8,-18.9,-10.9,-103.7,344,8.2,-0.8
1543,CIMPRESS,The Netherlands,Support Services,39.7,33.2,12.8,"1,230.7",17.6,7.6,3.2,62.4,5.1,15.8,5.1,79.3,12.1,14.3,6.4,"6,200",24.0,12.6
1544,ALUMINUM CORPORATION OF CHINA,China,Industrial Metals & Mining,39.5,51.7,-3.9,"19,083.4",-18.2,5.9,0.2,"1,082.0",-5.3,-0.3,5.7,"-1,420.7",-275.7,16.4,-7.4,"75,749",-16.0,-3.8
1545,CHINA HIGH SPEED TRANSMISSION EQUIPMENT,China,Industrial Engineering,39.5,20.8,6.0,"1,096.7",24.6,-2.8,3.6,77.5,-34.8,-4.1,7.1,155.7,7.9,-0.2,14.2,"8,768",-5.6,9.2
1546,E.ON,Germany,"Gas, Water & Multi-utilities",39.5,-59.2,-7.6,"111,556.0",-6.8,1.9,0.0,"3,994.0",-10.8,-10.3,3.6,"-1,040.0",-124.6,,-0.9,"58,503",-4.6,-8.1
1547,OMEROS,US,Pharmaceuticals & Biotechnology,39.5,32.1,15.2,0.4,-66.3,-29.3,"8,895.4",0.0,-86.3,-45.2,5.2,-57.7,38.6,22.6, ,103,37.3,2.3
1548,CENTRAL GLASS,Japan,Construction & Materials,39.5,6.7,-0.8,"1,358.7",3.9,4.6,2.9,68.4,6.7,-13.0,5.0,66.0,49.1,3.6,4.9,"6,758",26.4,3.9
1549,RETAILMENOT,US,Software & Computer Services,39.4,56.7,91.0,218.0,26.1,37.7,18.1,10.7,56.6,66.1,4.9,40.7,-6.2,11.1,18.7,527,18.7,
1550,SPECTRUM BRANDS,US,General Industrials,39.4,10.4,9.6,"3,648.1",8.4,8.6,1.1,60.4,-10.5,31.4,1.7,432.4,21.1,13.9,11.9,"13,400",-0.7,31.8
1551,KYTHERA BIOPHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,39.4,40.8,130.3,,,-100.0,,1.7,"4,795.2",-60.8,,-108.4,163.0,66.5,,106,65.6,
1552,RETROPHIN,US,Pharmaceuticals & Biotechnology,39.3,574.3,,23.2,,,169.4,3.3,"2,565.5",,14.1,-65.7,222.2, ,-283.0,110,323.1,
1553,SGL CARBON,Germany,Chemicals,39.3,-9.7,1.6,"1,335.6",-6.1,-2.6,2.9,132.6,13.3,-5.5,9.9,-43.5,-36.8,,-3.3,"6,342",-0.7,-0.3
1554,OSI SYSTEMS,US,Electronic & Electrical Equipment,39.2,-0.3,-2.6,789.2,5.7,4.6,5.0,17.7,-64.4,-6.2,2.2,84.0,9.2,11.5,10.6,"5,810",3.6,12.9
1555,NIHON KOHDEN,Japan,Health Care Equipment & Services,39.2,-19.2,8.4,"1,097.9",5.0,8.3,3.6,21.7,-16.0,26.0,2.0,108.7,-9.3,13.4,9.9,"4,616",2.7,3.5
1556,TOKYO SEIMITSU,Japan,Technology Hardware & Equipment,39.2,15.4,12.0,453.6,20.2,-1.4,8.6,10.4,-5.1,-19.9,2.3,82.8,43.2,-4.4,18.2,"1,447",3.9,6.8
1557,NORDSON,US,Industrial Engineering,39.2,-0.9,21.1,"1,403.5",10.4,7.8,2.8,35.9,-7.7,32.6,2.6,302.4,13.0,0.8,21.5,"5,966",2.8,12.3
1558,COTY,US,Personal Goods,39.0,1.9,4.9,"3,620.1",-3.4,-0.4,1.1,165.5,-13.2,3.7,4.6,526.7,307.3,,14.5,"8,100",-10.0,-9.1
1559,CEMPRA,US,Pharmaceuticals & Biotechnology,39.0,41.3,25.7,12.5,94.8,,311.0,0.0,-61.5,115.6,0.3,-48.9,38.4,27.8,-390.4,55,44.7,39.5
1560,SAMSUNG SDI,South Korea,Electronic & Electrical Equipment,39.0,-30.5,20.4,"4,101.6",59.7,-14.3,1.0,358.9,-28.3,13.4,8.8,53.1,-725.8,,1.3,,,
1561,SUZUKEN,Japan,Pharmaceuticals & Biotechnology,38.9,-4.5,0.9,"13,447.8",-0.9,2.2,0.3,85.5,48.7,-1.6,0.6,90.2,-24.8,65.3,0.7,"15,829",3.5,0.3
1562,LU THAI TEXTILE,China,Personal Goods,38.9,12.8,0.9,789.7,-5.0,2.5,4.9,101.9,26.1,-8.7,12.9,144.5,-10.3,4.3,18.3,"16,822",0.4,0.4
1563,INTRALINKS HOLDINGS,US,Software & Computer Services,38.8,14.9,3.2,210.7,9.1,3.2,18.4,30.4,34.3,4.8,14.4,-17.9,36.7,,-8.5,810,21.6,3.5
1564,HAREON SOLAR TECHNOLOGY,China,General Industrials,38.8,19.6,31.7,616.4,1.0,-11.6,6.3,164.9,-23.5,-14.1,26.8,-42.5,-597.0,-50.0,-6.9,"4,257",-10.4,45.6
1565,OPHTHOTECH,US,Pharmaceuticals & Biotechnology,38.8,41.9,33.7,34.0,,,114.2,1.4,"33,002.2",6.2,4.0,-66.3,69.8,34.2,-195.1,72,89.5,
1566,HINDALCO INDUSTRIES,India,Industrial Metals & Mining,38.8,8.5,13.5,"11,344.4",9.4,3.5,0.3,"1,225.6",-20.6,14.5,10.8,589.9,2.4,-2.7,5.2,"20,902",3.3,1.5
1567,FISHER & PAYKEL HEALTHCARE,New Zealand,Health Care Equipment & Services,38.7,18.9,8.4,415.3,13.3,6.8,9.3,25.3,43.8,-25.1,6.1,91.4,59.9,27.4,22.0,,-100.0,5.1
1568,ZENDESK,US,Software & Computer Services,38.6,133.5,65.0,104.6,76.3,66.5,36.9,24.4,152.0,,23.4,-54.5,203.0,45.6,-52.1,806,70.4,
1569,LENDINGCLUB,US,Financial Services,38.6,164.6,87.0,467.6,98.9,81.4,8.3,16.9,97.1,200.8,3.6,-25.9,-531.1,,-5.5,843,97.9,73.9
1570,RIETER,Switzerland,Industrial Engineering,38.6,2.9,4.4,960.5,11.4,1.1,4.0,35.1,-23.3,-1.8,3.7,73.2,116.5,-18.9,7.6,"5,004",4.4,0.7
1571,LG UPLUS,South Korea,Media,38.5,-12.4,-2.6,"8,241.7",-3.9,7.6,0.5,"1,739.2",17.0,4.9,21.1,431.8,6.3,24.7,5.2,,,
1572,BEIJING YANJING BREWERY,China,Beverages,38.5,14.5,,"1,577.4",-1.6,4.6,2.4,119.7,-44.4,4.6,7.6,136.1,14.1,-4.6,8.6,"39,940",-5.4,2.6
1573,GCL POLY ENERGY,China,Electricity,38.3,61.6,25.6,"3,953.4",45.8,0.0,1.0,679.5,85.2,-38.5,17.2,593.9,270.7,-39.8,15.0,"18,326",35.6,-7.6
1574,AEROVIRONMENT,US,Aerospace & Defence,38.3,82.2,-6.3,213.7,3.1,-8.2,17.9,4.5,-31.2,-19.3,2.1,1.7,-83.8,-33.9,0.8,663,6.1,-8.5
1575,ETSY,US,General Retailers,38.3,29.0,,161.1,56.4,,23.8,7.9,-43.9,,4.9,-5.1,-952.8,,-3.2,685,,
1576,NICHIAS,Japan,General Industrials,38.2,1.0,1.3,"1,085.1",8.0,0.7,3.5,22.9,-44.9,14.3,2.1,76.4,9.6,-2.8,7.0,"5,062",5.2,1.8
1577,OCLARO,US,Technology Hardware & Equipment,38.2,-27.7,13.8,281.1,-12.7,26.3,13.6,14.9,106.5,-24.4,5.3,-38.7,-45.1,15.3,-13.8,"1,233",-4.7,-22.6
1578,AMICUS THERAPEUTICS,US,Pharmaceuticals & Biotechnology,38.2,11.6,12.2,1.0,237.2,-74.3, ,0.2,-65.8,-21.2,19.4,-56.6,11.5,6.6, ,97,5.4,-1.4
1579,NUFLARE TECHNOLOGY,Japan,Technology Hardware & Equipment,38.1,17.2,17.5,289.9,-3.5,7.9,13.2,,,,0.0,81.6,-31.2,7.2,28.2,510,-1.4,7.3
1580,ROHTO PHARMACEUTICAL,Japan,Pharmaceuticals & Biotechnology,38.1,22.8,6.9,"1,036.2",5.5,6.1,3.7,27.1,-36.9,-8.8,2.6,89.8,-13.5,3.7,8.7,"6,426",9.9,3.0
1581,MOBILEIRON,US,Mobile telecommunications,38.1,27.1,65.3,109.0,25.3,96.8,35.0,3.1,65.7,11.9,2.8,-50.3,91.7,7.6,-46.2,783,39.8,
1582,WE MADE ENTERTAINMENT,South Korea,Software & Computer Services,38.1,0.7,29.6,121.9,-28.5,25.2,31.3,2.5,-84.7,18.4,2.1,-23.6,-354.9,-15.5,-19.3,,,
1583,CJ CHEILJEDANG,South Korea,Food Producers,38.1,-26.6,-5.1,"8,767.6",7.9,18.4,0.4,397.3,-55.6,14.1,4.5,434.5,67.9,-9.1,5.0,,,
1584,AEROPORTS DE PARIS,France,Industrial Transportation,38.0,9.8,5.5,"2,791.0",1.3,3.3,1.4,386.0,-8.5,-15.0,13.8,794.0,11.2,0.7,28.4,"8,966",-0.7,-0.2
1585,CONSTELLIUM,The Netherlands,Industrial Metals & Mining,38.0,5.6,2.9,"3,666.0",4.9,-0.6,1.0,199.0,38.2,14.1,5.4,214.0,-2.7,68.5,5.8,"8,600",0.0,-1.1
